Gender,Cancer,Stage,Age group,No
Male,Pancreas,Stage IV,70-79 years,327.0553309859155
Male,Pancreas,Stage IV,80+ years,146.8411690140845
Male,Prostate,Stage I,50-59 years,64.74230994371483
Male,Prostate,Stage I,60-69 years,272.795112945591
Male,Prostate,Stage I,70-79 years,269.07276247654784
Male,Prostate,Stage I,80+ years,101.96581463414634
Male,Prostate,Stage II,50-59 years,128.50367579737338
Male,Prostate,Stage II,60-69 years,541.4569666041275
Male,Prostate,Stage II,70-79 years,534.0686649155722
Male,Prostate,Stage II,80+ years,202.3866926829268
Male,Prostate,Stage III,50-59 years,144.68925328330207
Male,Prostate,Stage III,60-69 years,609.6557448405252
Male,Prostate,Stage III,70-79 years,601.3368555347092
Male,Prostate,Stage III,80+ years,227.87814634146338
Male,Prostate,Stage IV,50-59 years,152.53680600375236
Male,Prostate,Stage IV,60-69 years,642.7218191369606
Male,Prostate,Stage IV,70-79 years,633.9517358348969
Male,Prostate,Stage IV,80+ years,240.23763902439023
Male,Stomach,Stage I,40-49 years,20.732607868020306
Male,Stomach,Stage I,50-59 years,70.17190355329949
Male,Stomach,Stage I,60-69 years,116.42156725888323
Male,Stomach,Stage I,70-79 years,124.92725253807104
Male,Stomach,Stage I,80+ years,86.65166878172589
Male,Stomach,Stage II,40-49 years,7.784657360406092
Male,Stomach,Stage II,50-59 years,26.348071065989846
Male,Stomach,Stage II,60-69 years,43.713845177664965
Male,Stomach,Stage II,70-79 years,46.90755076142131
Male,Stomach,Stage II,80+ years,32.535875634517765
Male,Stomach,Stage III,40-49 years,17.4757614213198
Male,Stomach,Stage III,50-59 years,59.148730964467006
Male,Stomach,Stage III,60-69 years,98.13312182741116
Male,Stomach,Stage III,70-79 years,105.30266497461929
Male,Stomach,Stage III,80+ years,73.03972081218275
Male,Stomach,Stage IV,40-49 years,33.362817258883254
Male,Stomach,Stage IV,50-59 years,112.92030456852792
Male,Stomach,Stage IV,60-69 years,187.3450507614213
Male,Stomach,Stage IV,70-79 years,201.03236040609136
Male,Stomach,Stage IV,80+ years,139.43946700507615
